"","VAR","IV","Gini","MISS","IV_val","Gini_val","MISS_val"
"iv.total.final","EXT_SOURCE_2","0.294498124500774","0.291632008207518","0","0.258485508213742","0.273271289747583","0"
"iv.total.final1","EXT_SOURCE_3","0.286989746283983","0.271827384566064","0","0.305223801907133","0.279544646831414","0"
"iv.total.final2","DAYS_EMPLOYED","0.0907575476339875","0.1502209832793","0","0.0702849606106245","0.130163619588013","0"
"iv.total.final3","GOOD_PRICE","0.0611375520892678","0.132849682537514","0","0.0595590056995604","0.132489614342878","0"
"iv.total.final4","DAYS_BIRTH","0.0807087079643981","0.152414431340244","0","0.0521251704754521","0.122536677232092","0"
"iv.total.final5","EXT_SOURCE_1","0.0956405918840628","0.114412237732239","0","0.0710705758805816","0.100125896666301","0"
"iv.total.final6","AMT_CREDIT","0.0314826876965366","0.092626801709538","0","0.0391700146871026","0.101044039989727","0"
"iv.total.final7","DAYS_PHONE_CHANGE","0.0367198105624985","0.0918787759636062","0","0.0479588149621119","0.104509193394559","0"
"iv.total.final8","DAYS_ID_CHANGE","0.0345178737074693","0.098764838680701","0","0.0319246473017063","0.0929546453222665","0"
"iv.total.final9","AMT_ANNUITY","0.00970712602015605","0.0525456705372758","0","0.0134661720433732","0.0551112616352705","0"
"iv.total.final10","DAYS_REGISTRATION","0.0253792075898438","0.0695221103453001","0","0.0196394855059809","0.0622482029463092","0"
"iv.total.final11","JOBF","0.0789037160540544","0.139728418043843","0","0.0669557516383453","0.128727818812269","0"
"iv.total.final12","ORGANIZATION_TYPEF","0.0571844511242242","0.114621630315632","0","0.0425427490262922","0.0992096867262171","0"
"iv.total.final13","SOURCE_INCOMEF","0.0627541812670384","0.126383165451413","0","0.0453299010281712","0.108616304491238","0"
"iv.total.final14","REGION_RATEF","0.0508619897345341","0.0984926285549357","0","0.0426671348797343","0.0906077158735563","0"
"iv.total.final15","SEXF","0.0377124105802041","0.0941570127301139","0","0.0407065658492136","0.0977914241600661","0"
"iv.total.final16","EDUCATIONF","0.0536027779287049","0.0929367105033636","0","0.041077514258522","0.0818208448518485","0"
